name,email,date_of_birth,age,above_18,mobile
Sean Patrick,Sean_Patrick@rivera.com,20001025,21.2,True,
Heather Collins,Heather_Collins@williams.com,19861203,35.1,True,
Megan Gomez,Megan_Gomez@wade-stone.com,20080129,13.93,False,
William Hale,William_Hale@pena.info,20070422,14.71,False,
Olivia Thompson,Olivia_Thompson@bryan-navarro.com,20051130,16.1,False,
Lori Torres,Lori_Torres@hill.net,19961013,25.24,True,
Vickie Hernandez,Vickie_Hernandez@chapman.com,19630214,58.92,True,
Kimberly Brown,Kimberly_Brown@jones.com,19601123,61.15,True,
Phillip Hansen,Phillip_Hansen@spence.com,20100623,11.53,False,
Jeanette Knight,Jeanette_Knight@carey.com,19520130,69.97,True,
Kayla Hanson,Kayla_Hanson@clay.biz,19671008,54.27,True,
Dr. John Porter,John_Porter@cobb-lee.com,19850710,36.5,True,
Elizabeth Reyes,Elizabeth_Reyes@roberson.com,19550131,66.96,True,
Kristen Henry,Kristen_Henry@parker.com,20140702,7.51,False,
Claudia Anderson,Claudia_Anderson@smith-lynch.info,20120510,9.65,False,53767631
Nicholas Webb,Nicholas_Webb@johnson.com,19531103,68.21,True,
Allison Cooper,Allison_Cooper@taylor.biz,20011205,20.09,True,
Zachary Barnes,Zachary_Barnes@horne.biz,20050503,16.68,False,41935039
Gregory Hill III,Gregory_Hill@sims-sparks.net,19911102,30.19,True,
Terry Ayers,Terry_Ayers@morris.com,20070806,14.42,False,
Jessica Wilson,Jessica_Wilson@nichols.com,19541115,67.18,True,
Daniel Frazier,Daniel_Frazier@reilly.org,20171026,4.19,False,
Brian Welch,Brian_Welch@armstrong.net,20051111,16.15,False,
Carol Chavez,Carol_Chavez@cantu-shelton.com,20040703,17.51,False,
Ethan Mcdonald,Ethan_Mcdonald@lewis.com,19900115,31.98,True,
Gerald Martinez,Gerald_Martinez@jenkins-barnes.net,19860701,35.53,True,
Eric King,Eric_King@graham.com,19700914,51.33,True,
Sylvia Walters,Sylvia_Walters@archer.com,20090214,12.89,False,
Jonathan Lane,Jonathan_Lane@wright.com,20080109,13.99,False,
Jessica Shaffer,Jessica_Shaffer@alexander.com,20130305,8.83,False,
Chris Spencer,Chris_Spencer@pacheco.net,19930419,28.72,True,
Mary Clarke,Mary_Clarke@jacobs-martin.org,19590305,62.87,True,
Timothy Mendoza,Timothy_Mendoza@rodriguez-crawford.com,19791222,42.06,True,
Alicia Hoffman,Alicia_Hoffman@gomez.com,20110716,10.47,False,
Joseph Gardner,Joseph_Gardner@bray.com,19530118,69.0,True,
Rachael Rangel,Rachael_Rangel@marquez.biz,19800618,41.57,True,
Jeffrey Harrington,Jeffrey_Harrington@smith.com,19660708,55.52,True,
Debbie Freeman,Debbie_Freeman@thompson.net,20100427,11.69,False,
Matthew Braun,Matthew_Braun@logan.net,19740428,47.71,True,
Sheri Hudson,Sheri_Hudson@smith.com,20090920,12.29,False,18706439
Mary King,Mary_King@thomas-bates.com,20160503,5.67,False,
Beth Davis,Beth_Davis@hernandez.com,20100926,11.27,False,
Margaret Castillo,Margaret_Castillo@gross.biz,19601212,61.1,True,
Tommy Sandoval,Tommy_Sandoval@fischer.com,19660724,55.48,True,
Christopher Hines,Christopher_Hines@long-hammond.com,20151009,6.24,False,
Richard Wright,Richard_Wright@griffin-fletcher.info,20060601,15.6,False,
Michael Brown,Michael_Brown@smith-schmidt.net,20120618,9.55,False,47713991
Nathan Yu,Nathan_Yu@murray.com,20011112,20.15,True,
Cameron Ford,Cameron_Ford@finley-vazquez.org,19660523,55.65,True,
Carla Hayes,Carla_Hayes@singh-ponce.net,19830301,38.87,True,
Gary Figueroa,Gary_Figueroa@hernandez.com,19630711,58.52,True,
Michael West,Michael_West@rojas.net,20110723,10.45,False,
Martin Walton,Martin_Walton@grant.org,20110512,10.65,False,
Christopher Stephenson,Christopher_Stephenson@wade.com,19620506,59.7,True,
Eric Ortiz,Eric_Ortiz@johnson.com,20050208,16.91,False,
Andrew Cowan,Andrew_Cowan@gray-young.info,19610822,60.4,True,
Rhonda Moss DDS,Rhonda_Moss@nelson.com,19511230,70.05,True,
Sarah Williams,Sarah_Williams@morris.org,19850506,36.68,True,
Carolyn Collins,Carolyn_Collins@taylor.info,19961226,25.03,True,
Larry Mooney,Larry_Mooney@west-sanchez.info,20101028,11.19,False,
Laura Livingston,Laura_Livingston@ponce.biz,19910307,30.84,True,
Candace Mckenzie,Candace_Mckenzie@evans-fields.com,19520318,69.84,True,
Candace Wallace,Candace_Wallace@dickerson.com,19980508,23.67,True,
Jason White,Jason_White@hill.org,20050505,16.67,False,
Patricia Reynolds,Patricia_Reynolds@holt-sweeney.com,20120508,9.66,False,21775831
Michael Ellison,Michael_Ellison@brown.com,19880407,33.76,True,
Melissa Robles,Melissa_Robles@ryan-meyers.com,19800519,41.65,True,
Heidi Fry,Heidi_Fry@ross.org,19980702,23.52,True,
Stephanie Green DDS,Stephanie_Green@collins.com,20111112,10.15,False,
Stacey Garcia,Stacey_Garcia@dalton-henry.com,19870120,34.97,True,
Glenda Burke,Glenda_Burke@smith.biz,19760314,45.83,True,
Zachary Alvarez,Zachary_Alvarez@kelly.com,20010910,20.32,True,
Carmen Beard,Carmen_Beard@estrada.net,20160229,5.84,False,60170903
Tony Daniels,Tony_Daniels@arellano.com,19760614,45.58,True,
George Aguirre,George_Aguirre@herrera.com,20021201,19.1,True,
April Taylor,April_Taylor@barnes.net,20100915,11.3,False,44364927
Robert Johnson,Robert_Johnson@kelly.com,19560310,65.86,True,
Gary White,Gary_White@brown.org,19621231,59.04,True,
Kim Lowe,Kim_Lowe@pratt.com,19531106,68.2,True,
Samantha Jones,Samantha_Jones@cortez-frazier.biz,19550721,66.5,True,
Randy Lozano,Randy_Lozano@patton-peters.com,19700130,51.96,True,
Arthur Chavez,Arthur_Chavez@lyons.com,19880101,34.02,True,
Melissa Miller,Melissa_Miller@anderson-hayes.com,20110225,10.86,False,
Leslie Mccormick,Leslie_Mccormick@moore.com,19681026,53.22,True,
Carlos Rubio,Carlos_Rubio@maynard.org,20170617,4.55,False,
David York,David_York@shaffer.biz,19980714,23.48,True,
Olivia Poole,Olivia_Poole@blake.com,19770418,44.74,True,
Wayne Wilson,Wayne_Wilson@christian.com,19580214,63.92,True,
Janice Campbell,Janice_Campbell@davis-ryan.com,19500315,71.85,True,
Julie Johnson,Julie_Johnson@brown-murray.biz,20060606,15.58,False,
Robert Soto,Robert_Soto@huffman.org,19640221,57.9,True,
Brenda Cowan,Brenda_Cowan@white-marsh.com,19600824,61.4,True,
Kayla Taylor,Kayla_Taylor@ball.biz,19550323,66.82,True,
Antonio Garcia,Antonio_Garcia@williamson-warren.com,19690123,52.98,True,
Tyler Cisneros,Tyler_Cisneros@frye-velasquez.info,19690531,52.62,True,
Jillian Crawford,Jillian_Crawford@may-meza.com,19800621,41.56,True,
Karl Pierce,Karl_Pierce@aguilar.com,19990428,22.7,True,
Joann Taylor,Joann_Taylor@hernandez.com,19850907,36.34,True,
Jennifer Jenkins,Jennifer_Jenkins@gilmore-king.com,19921221,29.05,True,
Nancy Brown,Nancy_Brown@alexander.com,19690501,52.71,True,
Emma Munoz,Emma_Munoz@hill.com,19671017,54.25,True,
Melissa Mcguire,Melissa_Mcguire@smith-payne.org,19750402,46.78,True,
Bryan Chavez,Bryan_Chavez@campbell-boyd.com,20020809,19.41,True,
Megan Moore,Megan_Moore@sanchez.com,19550207,66.95,True,
Robert Williams,Robert_Williams@rogers.net,19840903,37.35,True,
Kimberly Herrera,Kimberly_Herrera@stevens.com,19870615,34.57,True,
Gloria Potts,Gloria_Potts@kidd.org,19561120,65.16,True,
Suzanne Barnett,Suzanne_Barnett@norman-payne.com,19520828,69.39,True,
Kylie Thomas,Kylie_Thomas@thomas.com,19961005,25.26,True,
Christopher Matthews,Christopher_Matthews@holloway.com,19690418,52.74,True,
Nicole Parks,Nicole_Parks@haney-hahn.org,20050509,16.66,False,
Kevin Chambers,Kevin_Chambers@brown-miller.com,19961203,25.1,True,
Kimberly Lawson,Kimberly_Lawson@bennett-fletcher.com,19680824,53.39,True,
Rachel Lopez,Rachel_Lopez@nichols.com,19640814,57.42,True,
Christopher Clay,Christopher_Clay@clark-brown.biz,20170421,4.7,False,
Daniel Martin,Daniel_Martin@mendez-miller.com,19610929,60.3,True,
William Taylor,William_Taylor@garcia-bush.net,19551104,66.21,True,
Steven Johnson,Steven_Johnson@hall.com,20050716,16.47,False,
Taylor Bryant,Taylor_Bryant@walker.com,20160406,5.74,False,
Lindsey Robertson,Lindsey_Robertson@solomon.com,19700603,51.62,True,
Allison Thomas,Allison_Thomas@phillips-garcia.com,19680213,53.92,True,
Susan Parsons,Susan_Parsons@carter.biz,19940729,27.45,True,
Brady Snyder,Brady_Snyder@archer.com,19990615,22.56,True,
Brent Mcgrath,Brent_Mcgrath@jackson-maxwell.info,20170226,4.85,False,
Peter Smith,Peter_Smith@wright.com,19501229,71.06,True,
Deborah Fox,Deborah_Fox@watts.org,20170222,4.86,False,
Heather Collins,Heather_Collins@daniels.com,20170820,4.37,False,
Misty Ramirez,Misty_Ramirez@chavez.com,20141023,7.2,False,
Scott Johnson,Scott_Johnson@davis.com,19650311,56.85,True,
Jay Nixon,Jay_Nixon@brown-sanchez.info,19610829,60.38,True,
Tony Hall,Tony_Hall@david.com,20090216,12.88,False,
Taylor Smith,Taylor_Smith@williams-burns.info,19850409,36.76,True,
Mark Reynolds,Mark_Reynolds@stokes-mcpherson.com,19890601,32.61,True,
Marilyn Christensen,Marilyn_Christensen@cooper-ward.com,20080326,13.78,False,94007639
Denise Atkins,Denise_Atkins@smith-shelton.net,20110118,10.96,False,
Melissa Gonzales,Melissa_Gonzales@collins.com,20181103,3.16,False,
Henry Hoffman,Henry_Hoffman@hubbard-garrett.com,19650518,56.66,True,
Daisy Davenport,Daisy_Davenport@spencer-guerrero.info,19930115,28.98,True,
Christopher Paul,Christopher_Paul@smith-gonzales.com,19550318,66.84,True,
Kevin Craig,Kevin_Craig@osborne-hudson.biz,20110414,10.73,False,
Natalie Coleman,Natalie_Coleman@robertson.com,20111017,10.22,False,
Gary Bonilla,Gary_Bonilla@carr.biz,19920316,29.82,True,
Heidi Perez,Heidi_Perez@harper.com,19700413,51.76,True,
Robert Johnson,Robert_Johnson@mitchell.info,20001018,21.22,True,
Gary Mills,Gary_Mills@pearson-benson.com,19570110,65.02,True,
Chelsea Caldwell,Chelsea_Caldwell@gomez.com,19950217,26.89,True,
John Frye,John_Frye@johnson.org,19501118,71.17,True,
Michael Strong,Michael_Strong@bradley.com,19691124,52.14,True,
Christopher Delgado,Christopher_Delgado@robinson.com,20160716,5.47,False,
Rebecca Martinez,Rebecca_Martinez@russell.com,19881026,33.21,True,
Marissa Mccoy,Marissa_Mccoy@ruiz.com,19910823,30.38,True,
Ricky Kerr,Ricky_Kerr@fischer-savage.biz,20060427,15.69,False,
Anna Campbell,Anna_Campbell@alvarez.com,19911104,30.18,True,
Marie Walters,Marie_Walters@navarro.biz,19780310,43.84,True,
James Dixon,James_Dixon@manning.com,20070518,14.64,False,
Vicki Ramirez,Vicki_Ramirez@mcdonald.com,20130117,8.96,False,
Krista Campbell,Krista_Campbell@stark.net,19940424,27.71,True,
Lauren Patterson,Lauren_Patterson@love-taylor.net,20091201,12.09,False,
Megan Clark,Megan_Clark@lutz-garrison.info,19600928,61.3,True,
Judy Zimmerman,Judy_Zimmerman@baker.com,20171109,4.15,False,
Joseph Williams MD,Joseph_Williams@wall-smith.info,20010701,20.52,True,
Lori Acevedo,Lori_Acevedo@randolph.com,19781030,43.2,True,
Dawn Snyder,Dawn_Snyder@long-hamilton.info,19560708,65.53,True,
Jennifer Simmons,Jennifer_Simmons@matthews.com,19840511,37.67,True,
Alyssa Nunez,Alyssa_Nunez@johnson.com,19920824,29.38,True,
Robert Black,Robert_Black@cooper.biz,19800619,41.56,True,
Julia Young,Julia_Young@bishop.info,19890720,32.47,True,
Melinda Barnes,Melinda_Barnes@porter.com,19530618,68.59,True,
Mr. Brett Armstrong,Brett_Armstrong@baker-madden.net,19820317,39.82,True,
Erik Stevenson,Erik_Stevenson@byrd.com,20070706,14.5,False,
Daniel George,Daniel_George@wolf-rojas.com,19841209,37.09,True,
Lindsey Jones,Lindsey_Jones@roberts-gonzalez.net,19540327,67.81,True,
Virginia Lopez,Virginia_Lopez@anderson.com,19930508,28.67,True,
Andrew Brown,Andrew_Brown@lindsey-villanueva.com,19920404,29.76,True,
Donna Lowery,Donna_Lowery@warren.info,19550326,66.82,True,
Alexis Andrade,Alexis_Andrade@santiago.com,20140504,7.67,False,
Tara Johnson,Tara_Johnson@smith-brown.com,19620101,60.04,True,
Pamela Scott,Pamela_Scott@thompson-myers.com,19940408,27.75,True,
Martin Ward,Martin_Ward@jones.info,19920815,29.4,True,
Kristina Hernandez,Kristina_Hernandez@martin.com,19630821,58.41,True,
Robert Bush,Robert_Bush@simmons.com,19680110,54.01,True,
Rebecca Larson,Rebecca_Larson@shannon-long.com,19930114,28.98,True,
Brittany Watson,Brittany_Watson@hernandez.biz,19900619,31.56,True,
John Prince,John_Prince@rodriguez-richardson.com,19760703,45.53,True,
Ashley Boyer,Ashley_Boyer@miller.com,19701020,51.24,True,
James Dean,James_Dean@garcia.com,19910921,30.3,True,
Natalie Gordon,Natalie_Gordon@zhang.com,20130323,8.78,False,
Ryan Smith,Ryan_Smith@simpson-smith.com,19760706,45.52,True,
William Delgado,William_Delgado@russell.com,20070816,14.39,False,71961335
Brian Johnson,Brian_Johnson@glover.com,19540606,67.62,True,
James Patel,James_Patel@ramos.com,19510421,70.75,True,
Aimee Reyes,Aimee_Reyes@dunn.com,19541214,67.1,True,
Edward Griffin,Edward_Griffin@mcconnell.net,19880112,33.99,True,
Debra Baker,Debra_Baker@mitchell.com,20170728,4.43,False,
Yvette Kramer,Yvette_Kramer@greene.biz,19970513,24.65,True,
Alyssa Williams DVM,Alyssa_Williams@huff.com,19580316,63.84,True,
John Cunningham,John_Cunningham@moore-norton.com,20021007,19.25,True,
Dana Gilbert,Dana_Gilbert@mclean-livingston.biz,19760430,45.7,True,
Stephen Henry,Stephen_Henry@jones.com,19810723,40.47,True,
Bradley James,Bradley_James@smith.com,19651103,56.2,True,
Melinda Peters,Melinda_Peters@schroeder-king.com,19730212,48.92,True,
Robert Goodman,Robert_Goodman@atkinson.com,20100131,11.93,False,
Sarah Gray,Sarah_Gray@ryan-reese.org,19950827,26.37,True,
Amy Haynes,Amy_Haynes@suarez.net,20000128,21.94,True,
Gary Dean,Gary_Dean@harrison-farley.com,19550703,66.55,True,
Jonathan Duran,Jonathan_Duran@dixon.com,19811020,40.23,True,
Elizabeth Ruiz,Elizabeth_Ruiz@bell-ho.com,19790202,42.94,True,
Caitlin Lewis,Caitlin_Lewis@miller.com,20070704,14.51,False,
Sheryl Mccarthy,Sheryl_Mccarthy@fox-johnson.org,19970329,24.78,True,
Lisa Smith,Lisa_Smith@johnson.com,20040921,17.29,False,
Jared Juarez,Jared_Juarez@neal.info,19751204,46.11,True,
Brett Castro,Brett_Castro@wilson.com,20050311,16.82,False,
Jessica Murray,Jessica_Murray@lewis.com,20000908,21.33,True,
Austin Coffey,Austin_Coffey@wolf.biz,20100703,11.51,False,
Shelly Jacobs,Shelly_Jacobs@jones.org,19770224,44.88,True,
Elizabeth Logan,Elizabeth_Logan@hale.org,20050114,16.98,False,
Cody Anderson,Cody_Anderson@arroyo.com,19600929,61.3,True,
Kayla Wood,Kayla_Wood@wallace.com,19990306,22.84,True,
Paul Singh DDS,Paul_Singh@silva-callahan.com,19511111,70.19,True,
Thomas Moore,Thomas_Moore@cain.com,20090724,12.45,False,
Linda Pacheco,Linda_Pacheco@moore.com,19690117,52.99,True,
Jenny Clark,Jenny_Clark@soto.com,19760708,45.52,True,
Patrick Guzman,Patrick_Guzman@ryan-todd.biz,19600610,61.6,True,
Mr. Scott Peters,Scott_Peters@barnes-diaz.com,20130303,8.84,False,
John Stevenson,John_Stevenson@horton.com,20000608,21.58,True,
Kristina Brooks,Kristina_Brooks@anderson.com,20040421,17.71,False,
Robert Brown,Robert_Brown@perez.info,19910626,30.54,True,
David Brown,David_Brown@coffey.com,19710403,50.78,True,
Dorothy Munoz,Dorothy_Munoz@martinez.net,19730101,49.03,True,
Jason Lawson,Jason_Lawson@mcintyre.com,19971001,24.27,True,
James Hall,James_Hall@smith.info,20080131,13.93,False,
Patricia Carpenter,Patricia_Carpenter@jordan-mendoza.org,19851217,36.07,True,
Jeff Cardenas,Jeff_Cardenas@cunningham.com,19690810,52.43,True,
Frank Madden,Frank_Madden@haley.net,19901104,31.18,True,
George Tanner,George_Tanner@pacheco-olson.com,19580425,63.73,True,
Jesse Frazier,Jesse_Frazier@webb-riley.com,19561102,65.21,True,
Edward Russell,Edward_Russell@eaton-jones.com,19610331,60.8,True,
Diana Mcdonald,Diana_Mcdonald@dillon-johnson.com,19680309,53.85,True,
Randy Dawson,Randy_Dawson@johnson.com,19690525,52.64,True,
Jasmine Williams,Jasmine_Williams@levy.com,19790125,42.96,True,
Sara Young,Sara_Young@thornton.com,19840720,37.48,True,
Christina Torres,Christina_Torres@rodriguez.net,20170829,4.35,False,
Maria Bailey,Maria_Bailey@quinn.com,19740809,47.43,True,
Charles Bartlett,Charles_Bartlett@thomas-wilson.com,20020709,19.5,True,
Natalie Parker,Natalie_Parker@hernandez.com,19970215,24.89,True,
Paula Hernandez DDS,Paula_Hernandez@obrien.com,19861001,35.28,True,
Jessica Jenkins,Jessica_Jenkins@small.com,19740413,47.75,True,
Drew Henson,Drew_Henson@taylor.org,20180920,3.28,False,
Michael Davis,Michael_Davis@hill.org,20100203,11.92,False,49850919
Ian Ramos,Ian_Ramos@smith-edwards.info,20110623,10.53,False,
Anna Wright,Anna_Wright@nguyen-robertson.com,20001231,21.02,True,
Ashley Anderson,Ashley_Anderson@bailey-rice.com,19980102,24.01,True,
Jennifer Wright,Jennifer_Wright@francis.org,19600726,61.48,True,
Nicole Lopez,Nicole_Lopez@fox.com,20000325,21.79,True,
Tara Ellis,Tara_Ellis@faulkner.com,20130121,8.95,False,
Hannah Elliott,Hannah_Elliott@edwards.com,19610502,60.71,True,
Gavin Rodriguez,Gavin_Rodriguez@butler-hunt.com,20150917,6.3,False,
Johnny Jackson,Johnny_Jackson@gaines-brown.com,20020107,20.0,True,
Martin Garrett,Martin_Garrett@owens.com,19560703,65.54,True,
Terri Hayes,Terri_Hayes@williams.org,19620221,59.9,True,
Carolyn Garner,Carolyn_Garner@barker.com,19581025,63.23,True,
Lisa Lee,Lisa_Lee@walker-vazquez.net,19611021,60.24,True,
Rodney Escobar,Rodney_Escobar@hughes.com,19760430,45.7,True,
Michelle Carter DVM,Michelle_Carter@lara.com,20160426,5.69,False,
John Dunn,John_Dunn@delacruz.org,19840111,38.0,True,
David Buck,David_Buck@taylor-robinson.net,19680305,53.86,True,
Jennifer Newman,Jennifer_Newman@bell.com,19840529,37.62,True,
Cynthia Lee,Cynthia_Lee@lin-francis.com,20020524,19.62,True,
Sylvia Clark,Sylvia_Clark@spencer.com,19520201,69.96,True,
Joseph Taylor,Joseph_Taylor@peck.net,19500329,71.81,True,
Kathleen Barton,Kathleen_Barton@moreno.com,19591110,62.19,True,
Michael Harris Jr.,Michael_Harris@mcknight.com,20060221,15.87,False,
Eric Benson,Eric_Benson@brooks.com,20130701,8.51,False,
Curtis Butler,Curtis_Butler@king.info,19681012,53.26,True,
Brittany Le,Brittany_Le@evans-harrison.com,19840918,37.31,True,
Jeremiah Sims,Jeremiah_Sims@white-baldwin.com,19770609,44.59,True,
David Davis,David_Davis@robinson-lee.net,19730502,48.7,True,
Tiffany Bond,Tiffany_Bond@mccall.com,19841205,37.1,True,
Patricia Chen,Patricia_Chen@williams-stevens.com,20140214,7.88,False,
William Crawford,William_Crawford@anderson-williams.com,19550227,66.89,True,
Christina Roberts,Christina_Roberts@pruitt.com,20130810,8.4,False,
Jerome Scott,Jerome_Scott@hughes.info,19840807,37.43,True,
James Miles,James_Miles@mitchell-brown.net,19530701,68.55,True,
Michael Downs,Michael_Downs@james.com,19920127,29.95,True,
Kayla Wheeler,Kayla_Wheeler@marshall.com,19600424,61.73,True,
Charles Martin,Charles_Martin@ramirez.org,19921213,29.07,True,
Harold Bennett,Harold_Bennett@thomas.net,20131202,8.09,False,
Michael Swanson,Michael_Swanson@patel.com,19680815,53.42,True,
Janet Mcdonald,Janet_Mcdonald@olson.org,19700813,51.42,True,
Jacob Smith,Jacob_Smith@graves.com,19960504,25.68,True,
Alexa Webb,Alexa_Webb@owens.com,19630721,58.49,True,
Tony Yu,Tony_Yu@esparza.com,19510611,70.61,True,
Lisa Goodman,Lisa_Goodman@floyd-vasquez.com,20081105,13.16,False,
Kimberly Hernandez,Kimberly_Hernandez@moore-johnson.com,20081027,13.19,False,
Phillip Friedman,Phillip_Friedman@arnold.biz,19881015,33.24,True,
Brian Lam,Brian_Lam@jones.com,20080409,13.74,False,34111927
Blake Mclaughlin,Blake_Mclaughlin@rogers.com,20160806,5.41,False,70699583
Billy Olsen,Billy_Olsen@cooper.com,19690503,52.7,True,
Shawn Brock,Shawn_Brock@lee.com,19670909,54.35,True,
Danielle Jones,Danielle_Jones@nelson.com,19650213,56.92,True,
Jim Gomez,Jim_Gomez@cox-moore.com,19560604,65.62,True,
Sabrina Henderson,Sabrina_Henderson@reynolds.com,20080220,13.87,False,
David Pennington,David_Pennington@graham.com,19750302,46.87,True,
Stephanie Bowman,Stephanie_Bowman@harvey-rodriguez.net,19510521,70.67,True,
Joseph Frazier,Joseph_Frazier@lopez-lewis.net,20100313,11.81,False,
Ryan Mclaughlin,Ryan_Mclaughlin@archer-snyder.com,20170713,4.47,False,
Tony Hall,Tony_Hall@gamble-brown.com,19510210,70.94,True,
John Obrien,John_Obrien@pearson-hansen.com,19580116,64.0,True,
Barbara Johnson,Barbara_Johnson@valdez-brown.biz,20040523,17.62,False,
Carrie Miller,Carrie_Miller@taylor.com,20170104,4.99,False,
Samantha Dean,Samantha_Dean@bennett.net,19610213,60.92,True,
Jamie Wilson,Jamie_Wilson@kane-french.info,20140110,7.98,False,
Carlos Acosta,Carlos_Acosta@hartman-zamora.com,20040705,17.5,False,
Amy Bennett,Amy_Bennett@smith-chase.com,19640126,57.97,True,
Dominique Wells,Dominique_Wells@carter-hurst.com,20140529,7.6,False,
Michael Barton,Michael_Barton@marshall-henson.com,20070530,14.6,False,
